,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Number
  65 - 69 Years,126731,121312,115632,112263,108336,104261,100869,98162,90473,79971,72613,63971,55870,55829,58546,58360,57738,55025,50879,48447,45433,44633,44827,44254
  70 - 74 Years,99507,95531,92386,86340,76294,69099,60769,52941,52718,55219,54938,54370,51884,47811,45315,42267,41107,41190,40529,38342,37082,36492,35684,34453
  75 - 79 Years,63887,55889,48443,48498,50627,50190,49593,47198,43414,41014,38076,36778,36684,35968,33858,32596,31575,30477,29069,26949,24136,24388,22701,21329
  80 - 84 Years,43145,42615,40500,37354,35053,32280,30997,30798,30040,28188,26959,26000,25006,23773,22116,20190,18705,17386,16416,15919,15432,14854,14157,13582
  85 - 89 Years,24152,23136,23167,22572,20988,19814,19061,18282,17376,16151,14757,13640,12543,11744,11202,10756,10166,9679,9294,8774,8457,8224,7807,7517
  65 Years & Over,373589,354182,335263,321349,304687,287963,272593,257754,243708,229796,216180,203074,189828,182542,177979,170719,165411,159521,151644,143460,135127,132789,128904,124510
  70 Years & Over,246858,232870,219631,209086,196351,183702,171724,159592,153235,149825,143567,139103,133958,126713,119433,112359,107673,104496,100765,95013,89694,88156,84077,80256
  75 Years & Over,147351,137339,127245,122746,120057,114603,110955,106651,100517,94606,88629,84733,82074,78902,74118,70092,66566,63306,60236,56671,52612,51664,48393,45803
  80 Years & Over,83464,81450,78802,74248,69430,64413,61362,59453,57103,53592,50553,47955,45390,42934,40260,37496,34991,32829,31167,29722,28476,27276,25692,24474
  85 Years & Over,40319,38835,38302,36894,34377,32133,30365,28655,27063,25404,23594,21955,20384,19161,18144,17306,16286,15443,14751,13803,13044,12422,11535,10892
  90 Years & Over,16167,15699,15135,14322,13389,12319,11304,10373,9687,9253,8837,8315,7841,7417,6942,6550,6120,5764,5457,5029,4587,4198,3728,3375
Total Malays,545203,538454,529737,529954,525117,519988,514967,510192,505308,501144,497154,493730,490745,487758,484121,479896,475586,471479,466926,462547,457470,455551,449601,443424
  0 - 4 Years,40068,40132,39082,38496,37177,35967,34349,32868,31456,30677,30334,30623,31125,31853,32359,32779,33452,34694,36094,37682,39248,40943,42016,42909
  5 - 9 Years,36368,34562,32907,31726,30981,30550,30837,31303,31958,32416,32927,33582,34791,36331,38025,39598,41201,42294,43174,44118,45438,46726,47668,48570
  10 - 14 Years,30781,30918,31202,32066,32542,32993,33611,34809,36283,37917,39436,41057,42135,43130,44141,45520,46532,47531,48449,49116,48732,47912,46175,44343
  15 - 19 Years,33417,33922,34983,36614,38284,39766,41330,42345,43214,44060,45405,46352,47361,48264,48931,48518,47760,45988,44231,42279,40390,39101,37971,36578
  20 - 24 Years,40166,41578,42479,43458,44306,45630,46542,47454,48249,48833,48314,47441,45797,43983,42049,40141,38739,37621,36200,34103,32138,30277,28522,27059
  25 - 29 Years,45500,46312,46995,48102,48702,48235,47370,45611,43791,41831,39957,38613,37526,36169,34210,32254,30068,28311,26922,26732,27117,28554,29820,30956
  30 - 34 Years,47999,46975,44986,43498,41629,39767,38468,37387,36010,34076,32236,30119,28443,27037,26876,27199,28356,29595,30698,30875,31646,32699,34520,36871
  35 - 39 Years,39495,38015,36710,35737,33917,32098,29995,28314,26851,26678,27035,28262,29483,30629,30756,31514,32276,34096,36449,39230,41873,43838,44621,44777
  40 - 44 Years,31950,29643,27677,26618,26496,26800,27935,29079,30109,30317,31144,31958,33802,36134,38873,41424,42992,43779,43856,43983,42886,42078,40344,38520
  45 - 49 Years,26589,27520,28339,29745,29936,30747,31487,33255,35496,38210,40755,42378,43155,43340,43262,42209,41117,39555,37825,35994,34312,32429,30420,28238
  50 - 54 Years,30224,30766,32199,34855,37517,39948,41427,42152,42234,42175,41186,40183,38756,37099,35277,33660,31603,29684,27507,25672,23605,22385,21591,19532
  55 - 59 Years,38847,39996,40242,40982,40927,39885,38932,37389,35760,34024,32536,30582,28697,26660,24848,22865,21553,20786,18792,16340,14765,12811,10567,10510
  60 - 64 Years,38099,36895,35018,34132,32438,31005,29155,27348,25325,23621,21721,20461,19756,17850,15480,13974,11993,9905,9804,10305,10293,10544,10560,10447
  65 - 69 Years,28891,26977,25089,23676,22065,20218,18954,18178,16431,14266,12857,11016,9036,8968,9376,9352,9566,9524,9400,9738,9782,9885,10035,9719
  70 - 74 Years,18185,16942,16113,14698,12688,11419,9773,7983,7857,8237,8119,8272,8292,8142,8372,8385,8415,8525,8199,7523,7176,7237,7369,7406
  75 - 79 Years,9551,8157,6573,6538,6853,6702,6833,6791,6656,6779,6725,6745,6780,6528,5939,5577,5402,5387,5285,5039,4468,4828,4564,4289
  80 - 84 Years,4916,5021,4970,4928,4956,4866,4794,4895,4679,4256,3953,3747,3713,3611,3455,3119,2941,2800,2708,2580,2452,2296,2004,1862
  85 - 89 Years,2883,2887,2954,2877,2562,2327,2200,2159,2102,2004,1780,1671,1529,1493,1392,1338,1231,1087,1016,903,821,691,585,606
  65 Years & Over,65700,61220,56918,53925,50265,46597,43529,40878,38572,36309,34168,32119,29918,29279,29034,28241,27944,27640,26925,26118,25027,25254,24806,24114
  70 Years & Over,36809,34243,31829,30249,28200,26379,24575,22700,22141,22043,21311,21103,20882,20311,19658,18889,18378,18116,17525,16380,15245,15369,14771,14395
  75 Years & Over,18624,17301,15716,15551,15512,14960,14802,14717,14284,13806,13192,12831,12590,12169,11286,10504,9963,9591,9326,8857,8069,8132,7402,6989
  80 Years & Over,9073,9144,9143,9013,8659,8258,7969,7926,7628,7027,6467,6086,5810,5641,5347,4927,4561,4204,4041,3818,3601,3304,2838,2700
  85 Years & Over,4157,4123,4173,4085,3703,3392,3175,3031,2949,2771,2514,2339,2097,2030,1892,1808,1620,1404,1333,1238,1149,1008,834,838
  90 Years & Over,1274,1236,1219,1208,1141,1065,975,872,847,767,734,668,568,537,500,470,389,317,317,335,328,317,249,232
Total Male Malays,274299,271249,267403,266762,264292,261789,259250,256910,254469,252402,250472,248847,247421,245983,244269,242371,240418,238342,236148,234108,231646,230835,227857,224794
  0 - 4 Years,20491,20529,20003,19756,19078,18517,17679,16878,16160,15758,15550,15627,15983,16323,16631,16809,17227,17869,18691,19449,20458,21254,21775,22181
  5 - 9 Years,18702,17772,16886,16304,15928,15692,15753,16071,16374,16664,16869,17278,17915,18803,19601,20633,21409,21937,22312,22862,23439,24182,24532,25068
  10 - 14 Years,15811,15833,16072,16457,16731,16905,17289,17905,18788,19556,20566,21327,21852,22294,22878,23501,24093,24470,25016,25274,25021,24579,23710,22693
  15 - 19 Years,17154,17458,18033,18960,19763,20740,21480,21969,22332,22832,23417,23999,24378,24902,25169,24916,24492,23593,22620,21631,20666,20030,19557,18833
  20 - 24 Years,20912,21614,22069,22433,22931,23520,24076,24406,24871,25090,24782,24314,23472,22462,21485,20509,19812,19341,18577,17571,16496,15621,14722,13979
  25 - 29 Years,23458,23981,24225,24831,25044,24753,24249,23360,22348,21357,20374,19697,19253,18525,17620,16576,15448,14539,13815,13688,13917,14691,15287,15816
  30 - 34 Years,24651,24099,23124,22223,21257,20268,19602,19164,18435,17512,16505,15391,14495,13750,13644,13891,14520,15095,15601,15604,15878,16408,17240,18420
  35 - 39 Years,20136,19388,18853,18275,17402,16387,15278,14373,13606,13489,13719,14384,14955,15482,15462,15768,16160,17007,18175,19555,21000,21917,22461,22591
  40 - 44 Years,16278,15065,14064,13425,13332,13533,14147,14696,15161,15177,15524,15939,16796,17980,19321,20703,21456,21960,22051,22321,21791,21335,20415,19494
  45 - 49 Years,13390,13914,14313,14910,14913,15239,15600,16438,17573,18900,20293,21065,21552,21728,21814,21325,20797,19991,19112,18133,17260,16261,15161,14040
  50 - 54 Years,14897,15219,15924,17199,18500,19818,20523,21014,21088,21184,20737,20252,19506,18662,17675,16849,15798,14737,13626,12675,11584,10957,10651,9665
  55 - 59 Years,19190,19750,20107,20396,20465,19955,19528,18733,17921,16978,16218,15185,14143,13092,12153,11105,10453,10156,9228,8049,7266,6274,5051,4961
  60 - 64 Years,18903,18418,17530,16943,16030,15317,14348,13364,12332,11423,10410,9792,9548,8657,7531,6777,5795,4672,4549,4791,4774,4988,5192,5187
  65 - 69 Years,14047,13125,12145,11327,10509,9553,8923,8607,7805,6813,6128,5225,4187,4101,4299,4275,4435,4578,4558,4706,4683,4660,4600,4455
  70 - 74 Years,8395,7795,7495,6821,5908,5311,4519,3608,3520,3692,3636,3741,3884,3833,3905,3874,3845,3769,3614,3351,3314,3431,3581,3704
  75 - 79 Years,4270,3647,2860,2820,2968,2883,2975,3087,3013,3025,2957,2946,2859,2759,2530,2491,2448,2497,2546,2487,2236,2512,2410,2289
  80 - 84 Years,2009,2067,2127,2127,2097,2048,1979,1951,1874,1728,1657,1614,1646,1666,1645,1491,1427,1405,1376,1334,1296,1230,1079,999
  85 - 89 Years,1131,1106,1094,1078,960,905,887,899,911,884,803,773,725,704,670,652,621,574,540,475,411,342,304,301
  65 Years & Over,30326,28209,26200,24650,22918,21145,19698,18539,17480,16482,15508,14597,13573,13323,13285,13009,12958,12975,12775,12505,12096,12338,12103,11866
  70 Years & Over,16279,15084,14055,13323,12409,11592,10775,9932,9675,9669,9380,9372,9386,9222,8986,8734,8523,8397,8217,7799,7413,7678,7503,7411
  75 Years & Over,7884,7289,6560,6502,6501,6281,6256,6324,6155,5977,5744,5631,5502,5389,5081,4860,4678,4628,4603,4448,4099,4247,3922,3707
  80 Years & Over,3614,3642,3700,3682,3533,3398,3281,3237,3142,2952,2787,2685,2643,2630,2551,2369,2230,2131,2057,1961,1863,1735,1512,1418
  85 Years & Over,1605,1575,1573,1555,1436,1350,1302,1286,1268,1224,1130,1071,997,964,906,878,803,726,681,627,567,505,433,419
  90 Years & Over,474,469,479,477,476,445,415,387,357,340,327,298,272,260,236,226,182,152,141,152,156,163,129,118
Total Female Malays,270904,267205,262334,263192,260825,258199,255717,253282,250839,248742,246682,244883,243324,241775,239852,237525,235168,233137,230778,228439,225824,224716,221744,218630
  0 - 4 Years,19577,19603,19079,18740,18099,17450,16670,15990,15296,14919,14784,14996,15142,15530,15728,15970,16225,16825,17403,18233,18790,19689,20241,20728
  5 - 9 Years,17666,16790,16021,15422,15053,14858,15084,15232,15584,15752,16058,16304,16876,17528,18424,18965,19792,20357,20862,21256,21999,22544,23136,23502
  10 - 14 Years,14970,15085,15130,15609,15811,16088,16322,16904,17495,18361,18870,19730,20283,20836,21263,22019,22439,23061,23433,23842,23711,23333,22465,21650
  15 - 19 Years,16263,16464,16950,17654,18521,19026,19850,20376,20882,21228,21988,22353,22983,23362,23762,23602,23268,22395,21611,20648,19724,19071,18414,17745
  20 - 24 Years,19254,19964,20410,21025,21375,22110,22466,23048,23378,23743,23532,23127,22325,21521,20564,19632,18927,18280,17623,16532,15642,14656,13800,13080
  25 - 29 Years,22042,22331,22770,23271,23658,23482,23121,22251,21443,20474,19583,18916,18273,17644,16590,15678,14620,13772,13107,13044,13200,13863,14533,15140
  30 - 34 Years,23348,22876,21862,21275,20372,19499,18866,18223,17575,16564,15731,14728,13948,13287,13232,13308,13836,14500,15097,15271,15768,16291,17280,18451
  35 - 39 Years,19359,18627,17857,17462,16515,15711,14717,13941,13245,13189,13316,13878,14528,15147,15294,15746,16116,17089,18274,19675,20873,21921,22160,22186
  40 - 44 Years,15672,14578,13613,13193,13164,13267,13788,14383,14948,15140,15620,16019,17006,18154,19552,20721,21536,21819,21805,21662,21095,20743,19929,19026
  45 - 49 Years,13199,13606,14026,14835,15023,15508,15887,16817,17923,19310,20462,21313,21603,21612,21448,20884,20320,19564,18713,17861,17052,16168,15259,14198
  50 - 54 Years,15327,15547,16275,17656,19017,20130,20904,21138,21146,20991,20449,19931,19250,18437,17602,16811,15805,14947,13881,12997,12021,11428,10940,9867
  55 - 59 Years,19657,20246,20135,20586,20462,19930,19404,18656,17839,17046,16318,15397,14554,13568,12695,11760,11100,10630,9564,8291,7499,6537,5516,5549
  60 - 64 Years,19196,18477,17488,17189,16408,15688,14807,13984,12993,12198,11311,10669,10208,9193,7949,7197,6198,5233,5255,5514,5519,5556,5368,5260
