,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
  65 - 69 Years,4875,4544,4496,4520,4407,4160,3869,3640,3494,3313,1811,932
  70 - 74 Years,3505,3257,3000,2860,2698,2547,2461,2296,2132,2042,1141,616
  75 - 79 Years,1859,1766,1643,1512,1434,1313,1229,1157,1081,1113,514,271
  80 - 84 Years,788,742,679,608,657,685,713,652,562,524,232,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,11475,10772,10246,9854,9544,9041,8586,8021,7497,7229,3836,2101
  70 Years & Over,6600,6228,5751,5334,5137,4881,4717,4381,4003,3916,2025,1169
  75 Years & Over,3095,2971,2751,2475,2440,2334,2256,2084,1871,1874,884,553
  80 Years & Over,1235,1205,1108,962,1006,1021,1027,928,790,761,370,282
  85 Years & Over,448,462,429,354,350,336,314,276,227,237,138,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Chinese,2276592,2257830,2234039,2210535,2184991,2157259,2128468,2100357,2074868,2046422,1740862,1478200
  0 - 4 Years,151708,158405,161348,162966,165425,164647,167750,166776,160680,153706,143977,167951
  5 - 9 Years,167587,170704,169674,163108,155724,152311,142649,139496,142810,144882,167677,198774
  10 - 14 Years,153668,144192,141218,144619,147085,147410,149742,148854,150926,151309,169148,212728
  15 - 19 Years,148859,151678,150875,152824,153070,154288,158163,165405,168250,171367,199166,182180
  20 - 24 Years,155287,159193,166552,169368,172525,173422,171112,168835,169256,173910,207155,144501
  25 - 29 Years,176067,174239,171780,172158,176300,182347,190749,196892,202491,206437,179570,87633
  30 - 34 Years,186471,194759,200732,206383,210220,214195,217011,219419,222403,221846,151883,92747
  35 - 39 Years,216901,220030,222468,225506,224771,222377,218160,212465,204614,196867,97123,78208
  40 - 44 Years,223680,220007,214619,206773,199150,192530,185957,179848,175530,162464,95341,67179
  45 - 49 Years,192657,186606,180652,176251,163193,144454,130889,116157,102296,102138,77457,54072
  50 - 54 Years,143727,130245,115626,101781,101548,106307,105919,104554,99911,92601,65493,50657
  55 - 59 Years,104083,103703,102358,97761,90495,85583,79791,77428,77453,76464,50063,49745
  60 - 64 Years,81983,76292,73932,73809,72801,69450,67542,65884,64073,61750,44830,38346
  65 - 69 Years,64121,62208,60496,58738,56564,53735,50815,48196,45870,44483,39612,26483
  70 - 74 Years,47125,44285,41664,39407,37981,37442,36675,36093,35905,35755,27165,14529
  75 - 79 Years,29351,28455,27943,27665,27580,27347,27382,27468,27402,27296,15260,7740
  80 - 84 Years,18648,18614,18565,18616,18541,18281,17790,17062,16226,15045,6408,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,173916,167777,162205,157226,152686,147940,143034,138343,134172,130681,91979,53479
  70 Years & Over,109795,105569,101710,98487,96122,94204,92219,90147,88302,86198,52367,26996
  75 Years & Over,62669,61285,60046,59081,58141,56762,55544,54054,52397,50443,25202,12467
  80 Years & Over,33318,32830,32103,31416,30562,29415,28162,26585,24994,23147,9942,4727
  85 Years & Over,14671,14216,13538,12800,12021,11134,10372,9524,8768,8102,3534,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Chinese,1138411,1129683,1118473,1107391,1095451,1082512,1068745,1055070,1043158,1029387,879436,748342
  0 - 4 Years,78592,81893,83536,84175,85481,85135,86837,86281,83403,79849,75011,86874
  5 - 9 Years,86483,88174,87641,84542,80842,79087,74214,72675,74469,75353,86773,102501
  10 - 14 Years,79718,74928,73465,75314,76406,76531,77752,77121,77988,78243,86959,109593
  15 - 19 Years,77203,78651,78078,78904,79095,79620,81492,85270,86795,88401,102758,94061
  20 - 24 Years,80063,81922,85747,87224,88879,89417,88159,86895,86987,89273,107165,74415
  25 - 29 Years,89637,88462,87045,87157,89285,92623,96975,100219,103301,105765,92514,44842
  30 - 34 Years,93178,97477,100676,103718,106008,108298,110200,111604,113390,113049,77091,47257
  35 - 39 Years,108694,110660,112071,113852,113497,112341,110548,107866,103806,100005,48689,39273
  40 - 44 Years,112184,110754,108288,104311,100684,97413,93840,90564,88347,81751,48058,32992
  45 - 49 Years,97034,93841,90687,88413,81830,72453,65439,58213,51313,51043,38565,25947
  50 - 54 Years,71719,64784,57635,50749,50430,52685,52397,51774,49733,46468,31814,24177
  55 - 59 Years,51086,50831,50179,48136,44945,42587,39792,38459,38175,37392,23553,24355
  60 - 64 Years,40116,37382,36050,35743,34915,33193,31971,30850,29837,28541,20674,18914
  65 - 69 Years,29695,28543,27434,26403,25210,23938,22733,21546,20466,19823,18246,12562
  70 - 74 Years,19992,18863,17755,16773,16188,15759,15303,15058,14975,14923,12166,6313
  75 - 79 Years,11521,11097,10926,10814,10780,10789,10893,10953,11012,11117,6202,2907
  80 - 84 Years,6672,6709,6724,6819,6925,6883,6729,6555,6293,5772,2238,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,72704,69924,67375,65155,63156,61130,59131,57279,55616,54254,39812,23141
  70 Years & Over,43009,41381,39941,38751,37946,37191,36398,35733,35150,34431,21566,10579
  75 Years & Over,23017,22518,22187,21978,21758,21432,21096,20676,20175,19508,9400,4266
  80 Years & Over,11497,11421,11261,11164,10978,10643,10203,9723,9163,8391,3198,1359
  85 Years & Over,4824,4712,4537,4345,4053,3759,3474,3167,2870,2619,960,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Chinese,1138181,1128147,1115565,1103144,1089541,1074747,1059724,1045287,1031709,1017035,861426,729858
  0 - 4 Years,73117,76511,77812,78791,79944,79512,80914,80495,77277,73857,68966,81077
  5 - 9 Years,81104,82531,82033,78566,74882,73224,68435,66821,68341,69529,80904,96273
  10 - 14 Years,73950,69264,67753,69305,70680,70879,71990,71732,72938,73066,82189,103135
  15 - 19 Years,71656,73027,72797,73920,73975,74668,76672,80135,81456,82966,96408,88119
  20 - 24 Years,75225,77271,80804,82144,83646,84005,82953,81940,82270,84637,99990,70086
  25 - 29 Years,86430,85777,84735,85001,87015,89724,93774,96673,99190,100672,87056,42791
  30 - 34 Years,93292,97282,100055,102666,104212,105897,106811,107815,109013,108797,74792,45490
  35 - 39 Years,108207,109371,110397,111654,111274,110036,107612,104599,100808,96862,48434,38935
  40 - 44 Years,111496,109252,106331,102463,98466,95117,92118,89285,87184,80713,47283,34187
  45 - 49 Years,95623,92765,89965,87839,81363,72000,65451,57944,50983,51095,38892,28125
  50 - 54 Years,72008,65461,57991,51033,51119,53622,53521,52780,50179,46133,33679,26480
  55 - 59 Years,52996,52871,52180,49625,45550,42996,39999,38969,39279,39072,26510,25390
  60 - 64 Years,41867,38909,37882,38067,37886,36257,35571,35034,34237,33209,24156,19432
  65 - 69 Years,34427,33665,33062,32335,31354,29797,28082,26649,25404,24660,21366,13921
  70 - 74 Years,27134,25421,23909,22633,21793,21683,21373,21036,20930,20832,14999,8216
  75 - 79 Years,17830,17358,17017,16851,16800,16558,16490,16516,16390,16179,9058,4833
  80 - 84 Years,11976,11906,11841,11796,11616,11398,11061,10506,9934,9273,4170,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,101212,97853,94830,92071,89531,86810,83903,81063,78556,76427,52167,30338
  70 Years & Over,66786,64188,61768,59736,58177,57013,55821,54414,53152,51767,30801,16417
  75 Years & Over,39652,38767,37859,37103,36384,35330,34448,33378,32222,30935,15802,8201
  80 Years & Over,21822,21409,20843,20252,19584,18772,17959,16863,15832,14756,6744,3368
  85 Years & Over,9846,9504,9002,8455,7969,7374,6898,6356,5898,5483,2574,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Indians,212083,208686,204752,201049,197352,193466,189446,185764,182121,178572,128969,112683
  0 - 4 Years,17692,18254,18621,18947,19238,19221,18978,18666,17986,17190,9414,15160
  5 - 9 Years,19793,19542,19174,18463,17592,16908,15998,15356,14882,14497,11428,17918
  10 - 14 Years,17482,16611,15939,15456,15032,14466,13845,13036,12463,11906,14600,17155
  15 - 19 Years,15107,14530,13646,12973,12322,11951,12052,12464,12964,13606,17699,12789
  20 - 24 Years,12421,12554,12949,13420,13996,14422,14828,15185,15939,16945,16552,8791
  25 - 29 Years,15014,15402,15654,16371,17336,18242,19281,20165,20569,20785,12545,4119
  30 - 34 Years,18764,19775,20542,20972,21159,21376,21217,21119,20764,20149,9479,5059
  35 - 39 Years,21923,21695,21506,21036,20414,19542,18560,17563,16717,15698,5442,6582
  40 - 44 Years,19923,18980,17896,17003,15945,15274,14580,13833,13392,12111,6054,7434
  45 - 49 Years,15525,14831,14096,13629,12307,10607,9240,7938,6623,6489,6698,6422
  50 - 54 Years,10685,9346,8002,6693,6564,6746,6747,6826,6683,6575,6819,4629
  55 - 59 Years,6665,6651,6720,6545,6405,6293,6280,6519,6779,6994,5197,3222
  60 - 64 Years,6026,6004,6193,6411,6538,6734,6832,6785,6751,6600,3397,1771
  65 - 69 Years,6203,6239,6183,6112,5990,5649,5373,5047,4823,4611,1948,930
  70 - 74 Years,5007,4753,4329,3989,3684,3448,3273,3070,2818,2578,1010,438
  75 - 79 Years,2467,2239,2090,1908,1751,1573,1437,1351,1257,1189,436,187
  80 - 84 Years,916,822,797,758,740,708,650,604,519,460,165,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,15063,14509,13815,13129,12506,11685,11009,10309,9610,9027,3645,1632
